EconomicIndicatorId,ObsDate,Value
64451217763,7/1/2011,386961.5
64451217763,10/1/2011,442464.2
64451217763,1/1/2012,379692.0648
64451217763,4/1/2012,398384.5
64451217763,7/1/2012,401710.6
64451217763,10/1/2012,449604.5
64451217763,1/1/2013,381774.9
64451217763,4/1/2013,401975.9
64451217763,7/1/2013,407562.3
64451217763,10/1/2013,465528.9
64451217763,1/1/2014,399363
64451217763,4/1/2014,418051.3
64451217763,7/1/2014,424825.1
64451217763,10/1/2014,477464.2
64451217763,1/1/2015,415500
64451217763,4/1/2015,434020.5
64451217763,7/1/2015,439757.4
64451217763,10/1/2015,510114.3
64451217763,1/1/2016,429903.8
64451217763,4/1/2016,449849.7
64451217763,7/1/2016,454539.8
64451217763,10/1/2016,524174.2
64451217763,1/1/2017,456680.7
64451217763,4/1/2017,476576.3
64451217763,7/1/2017,490156.4
64451217763,10/1/2017,558666.3
64451217763,1/1/2018,485355.6
64577591434,1/1/2003,113.3
64577591434,4/1/2003,105.7
64577591434,7/1/2003,108.4
64577591434,10/1/2003,110
64577591434,1/1/2004,106.5
64577591434,4/1/2004,115.7
64577591434,7/1/2004,108.1
64577591434,10/1/2004,100.4
64577591434,1/1/2005,102.5
64577591434,4/1/2005,102.8
64577591434,7/1/2005,105.3
64577591434,10/1/2005,117.1
64577591434,1/1/2006,122.4
64577591434,4/1/2006,117.3
64577591434,7/1/2006,118.3
64577591434,10/1/2006,116.6
64577591434,1/1/2007,117.6
64577591434,4/1/2007,116.7
64577591434,7/1/2007,116.5
64577591434,10/1/2007,112.6
64577591434,1/1/2008,114.8
64577591434,4/1/2008,111.8
64577591434,7/1/2008,109.6
64577591434,10/1/2008,100
64577591434,1/1/2009,85
64577591434,4/1/2009,82.9
64577591434,7/1/2009,87
64577591434,10/1/2009,95.5
64577591434,1/1/2010,109.5
64577591434,4/1/2010,120.6
64577591434,7/1/2010,113
64577591434,10/1/2010,113.2
64577591434,1/1/2011,110.5
64577591434,4/1/2011,105.9
64577591434,7/1/2011,105.5
64577591434,10/1/2011,102
64577591434,1/1/2012,103.1
64577591434,4/1/2012,98.9
64577591434,7/1/2012,97.8
64577591434,10/1/2012,99.2
64577591434,1/1/2013,98.2
64577591434,4/1/2013,98.6
64577591434,7/1/2013,104.9
64577591434,10/1/2013,104.9
64577591434,1/1/2014,108.4
64577591434,4/1/2014,110.7
64577591434,7/1/2014,110.2
64577591434,10/1/2014,109
64577591434,1/1/2015,107.3
64577591434,4/1/2015,106.2
64577591434,7/1/2015,105.2
64577591434,10/1/2015,107
64577591434,1/1/2016,108
64577591434,4/1/2016,108
64577591434,7/1/2016,109.2
64577591434,10/1/2016,107.4
64577591434,1/1/2017,108.6
64577591434,4/1/2017,109.1
64577591434,7/1/2017,107.6
64577591434,10/1/2017,108.3
64577591434,1/1/2018,104.7
64424510361,1/1/2003,101.8
64424510361,4/1/2003,103.6
64424510361,7/1/2003,104
64424510361,10/1/2003,104.6
64424510361,1/1/2004,107
64424510361,4/1/2004,105.7
64424510361,7/1/2004,104.6
64424510361,10/1/2004,103.6
64424510361,1/1/2005,102.2
64424510361,4/1/2005,102.8
64424510361,7/1/2005,104.3
64424510361,10/1/2005,104.8
64424510361,1/1/2006,105.6
64424510361,4/1/2006,106.3
64424510361,7/1/2006,106.5
64424510361,10/1/2006,106.3
64424510361,1/1/2007,107.7
64424510361,4/1/2007,107.3
64424510361,7/1/2007,106.9
64424510361,10/1/2007,106.9
64424510361,1/1/2008,105.5
64424510361,4/1/2008,104.9
64424510361,7/1/2008,103.7
64424510361,10/1/2008,101.9
64424510361,1/1/2009,101.5
64424510361,4/1/2009,101.9
64424510361,7/1/2009,102.7
64424510361,10/1/2009,104.2
64424510361,1/1/2010,102.1
64424510361,4/1/2010,103.6
64424510361,7/1/2010,104
64424510361,10/1/2010,104.8
64424510361,1/1/2011,104.9
64424510361,4/1/2011,104.8
64424510361,7/1/2011,105
64424510361,10/1/2011,105.3
64424510361,1/1/2012,103.3
64424510361,4/1/2012,102.3
64424510361,7/1/2012,100.9
64424510361,10/1/2012,100.1
64424510361,1/1/2013,100.1
64424510361,4/1/2013,100.6
64424510361,7/1/2013,101.9
64424510361,10/1/2013,102.7
64424510361,1/1/2014,103.1
64424510361,4/1/2014,103.3
64424510361,7/1/2014,103.4
64424510361,10/1/2014,103.3
64424510361,1/1/2015,103.8
64424510361,4/1/2015,103.3
64424510361,7/1/2015,103.6
64424510361,10/1/2015,104.6
64424510361,1/1/2016,103.1
64424510361,4/1/2016,103.4
64424510361,7/1/2016,102.7
64424510361,10/1/2016,102.7
64424510361,1/1/2017,104.4
64424510361,4/1/2017,104
64424510361,7/1/2017,105.2
64424510361,10/1/2017,104.9
64424510361,1/1/2018,105.2
64424510361,4/1/2018,105.1
65772023485,1/1/2003,134384.9
65772023485,4/1/2003,134071.1
65772023485,7/1/2003,134339
65772023485,10/1/2003,137373.6
65772023485,1/1/2004,140638.8
65772023485,4/1/2004,142779.9
65772023485,7/1/2004,141223.4
65772023485,10/1/2004,141606
65772023485,1/1/2005,150242.2
65772023485,4/1/2005,149378.3
65772023485,7/1/2005,151517.9
65772023485,10/1/2005,150906.4
65772023485,1/1/2006,160611.4
65772023485,4/1/2006,157765.7
65772023485,7/1/2006,162441.7
65772023485,10/1/2006,163174.6
65772023485,1/1/2007,174855.1
65772023485,4/1/2007,171702.4
65772023485,7/1/2007,173407.1
65772023485,10/1/2007,169990.3
65772023485,1/1/2008,191551.3
65772023485,4/1/2008,187225.5
65772023485,7/1/2008,189123.2
65772023485,10/1/2008,184967.2
65772023485,1/1/2009,208908.6
65772023485,4/1/2009,200291.8
65772023485,7/1/2009,204260.4
65772023485,10/1/2009,197462.8
65772023485,1/1/2010,218108
65772023485,4/1/2010,210400
65772023485,7/1/2010,216972
65772023485,10/1/2010,208454.8
65772023485,1/1/2011,230749.4
65772023485,4/1/2011,224170.7
65772023485,7/1/2011,229772.5
65772023485,10/1/2011,219174.7
65772023485,1/1/2012,247631.8
65772023485,4/1/2012,237416.3
65772023485,7/1/2012,241051.9
65772023485,10/1/2012,230205.5
65772023485,1/1/2013,256124.8
65772023485,4/1/2013,244630
65772023485,7/1/2013,251310
65772023485,10/1/2013,239286.9
65772023485,1/1/2014,262188.8
65772023485,4/1/2014,252787.7
65772023485,7/1/2014,258183.1
65772023485,10/1/2014,247537.8
65772023485,1/1/2015,271477.7
65772023485,4/1/2015,261201.6
65772023485,7/1/2015,265075.6
65772023485,10/1/2015,252452.6
65772023485,1/1/2016,276966.3
65772023485,4/1/2016,265103.2
65772023485,7/1/2016,274766.6
65772023485,10/1/2016,261425.9
65772023485,1/1/2017,288789.6
65772023485,4/1/2017,276656.5
65772023485,7/1/2017,286638.3
65772023485,10/1/2017,272720.7
65772023485,1/1/2018,306549.8
65672732932,1/1/2003,108.1
65672732932,4/1/2003,108.3
65672732932,7/1/2003,112.9
65672732932,10/1/2003,109
65672732932,1/1/2004,109.3
65672732932,4/1/2004,116.1
